19  1/11/73   0.75    1 T 12/31/72 T/B                               
 3  1/12/73   8.00    1 TRIAL BALANCE ANAL PER A/C AT 12/31/72       
23  1/13/73   1.50    1 TRANSFER W/S FIGURES FOOT                    
 3  1/14/73   2.00    1 TAX AEJ AND COMP 12/31/72                    
29  1/15/73   8.00    1 PREP 1972 1120 FED TAX RET & VAR SCH         
 3  1/15/73   2.50    1 SCH RE TAX RESERVES QUALIFYING TESTS ETC     
29  1/20/73   1.75    1 FIN PREP INCOME TAX                          
26  2/ 3/73   4.00    1 NY STATE TAX RET                             
 3  2/ 4/73   1.00    1 REV & REVISE 1120 FOR 1972                   
 3  2/ 5/73   1.50    1 REV & REVISE BT1 PREP 1120W FOR 1973         
19  2/ 5/73   4.00    1 T LTR EST 1120 SCHDS BT1 P ADJ               
18  2/ 6/73   1.25    1 PFRD 1120 BT1 & LTR                          
 2  1/ 2/73   0.25    2 ADDTL INFO FOR 4848A                         
 2  1/ 2/73   0.75    2 W/MRS SEELEY-PHONE & MR FIDEN                
 2  1/ 3/73   0.25    2 PHONE FF RE BONUS                            
 2  1/12/73   0.25    2 PHONE RE AUTO REIMBURSEMENT                  
 8  1/24/73   2.50    2 LIAB ASSET ANAL 12/31/72                     
 8  1/24/73   3.00    2 ASSET ANAL 12/31/72                          
 8  1/25/73   6.00    2 COMP LIAB ANAL & REV EXP ANAL 12/31/72       
 8  1/25/73   0.50    2 (P/SP) INFO FOR RECORDING 12/31/72           
26  1/25/73   8.00    2 BANK RECO CONFIRMS ANAL EXP A/C & A/R        
 8  1/26/73   0.25    2 DETERMINED P & L                             
26  1/26/73   7.50    2 ANAL EXP A/C & A/P                           
 2  1/27/73   0.25    2 RE INV COMP W/AS & FF                        
 2  2/ 2/73   1.00    2 MTG W/FF RE INV ETC                          
 8  2/ 3/73   3.75    2 COMPLETE ALL ANAL & BAL W/S COMP TAX 12/31/72
 2  2/ 3/73   0.25    2 W/GEO RE 12/31                               
 2  2/10/73   0.25    2 W/GEO RE TAXES                               
 8  2/10/73   1.00    2 TAX COMP FOR YEAR 12/31/72                   
26  2/12/73   8.50    2 STMTS & TAX RETURNS                          
 2  2/18/73   4.00    2 REV 12/31 COMPLETE STMT ETC                  
 2  2/19/73   5.25    2 REV 12/31/72                                 
18  2/20/73   1.75    2 PFRD 1120 CT3 STMTS ETC                      
19  2/20/73   5.00    2 TCP STMTS  FOR SUBSIDIARY AUDIT REP 12/72    
28  2/20/73   3.00    2 TCP 1120 851 3468 & 2 CT3'S P WORK           
 2  2/20/73   0.50    2 FIN ASSEMBLY OF 1972 DATA                    
18  2/22/73   0.50    2 COMP 1973 DEPR                               
 2  3/10/73   1.25    2 MTG W/FF RE PERS RET & COMPANY MATTERS       
 2  5/ 4/72   0.75    2 MTG W/INV COUNSELORS RE CATTLE               
 2  6/ 6/72   0.25    2 RE P/SP ETC W/AS                             
 2  6/ 9/72   0.25    2 W/AS RE CLOSING ENTRIES                      
18  6/14/72   0.25    2 P/S SCH & LTR                                
 2  6/14/72   2.00    2 REV REVALUATION OF P/SP 4/3/72               
16  6/28/72   3.00    2 4848                                         
16  6/29/72   1.25    2 COMP 4848 & 4849                             
16  7/ 5/72   0.50    2 990P FOR AFCO P/SP                           
 6  7/ 5/72   1.00    2 REV 4848 ET AL FOR AFCO P/SP                 
20  7/19/72   2.50    2 T 12/31/72 W/S                               
21  7/19/72   1.50    2 T & C STMT W/S                               
 2  8/ 9/72   1.75    2 REV 4848 A 4849 ET AL                        
18  8/ 9/72   1.00    2 T&C 2950 4848 990P                           
 2 12/12/72   0.50    2 CALL FROM MRS SEELEY RE BONUS                
19 12/29/72   2.00    2 PHOTO                                        
 2  1/10/73   0.25    3 W/JES & EM RE FINAL RETURN                   
 2  1/31/73   2.50    3 PREP T/B FOR FINAL RET                       
 2  2/ 1/73   0.25    3 W/ELMA & EVELYN RE 1/31/73                   
 1  2/ 3/73   0.25    3 RE 337 1 YR LIMITATION                       
 2  2/ 7/73   0.75    3 VAR CALLS W/IRS ETC                          
 1  2/ 7/73   0.25    3 RE 337 LIQUID                                
 2  2/11/73   2.00    3 FIN W/S 1/73 COMP TAXES FOR CORP & JES       
 2  2/13/73   0.25    3 PHONE JES                                    
 2  2/15/73   1.25    3 PREP 1040 DATA                               
20  2/16/73   1.00    3 (REV SCHIEDER) T & RUN RETURN                
 2  2/16/73   0.25    3 CK BCR RET & MISC (JE SCHRIDER)              
 2  2/16/73   1.75    3 PREP FINAM 1120                              
28  2/16/73   0.25    3 (REV SCHIEDER)PFRD 1040                      
 2  2/17/73   1.75    3 (JE SCHRIDER) MIN TAX COMP FED & STATE       
19  2/17/73   1.50    3 TCP PFRD 1120 SCH CT3                        
18  2/19/73   0.25    3 PFRD 1120 CT3                                
21  2/19/73   0.25    3 T 1096 & 1099L                               
 2  2/19/73   0.50    3 (REV SCHIEDER)COMPLETE 4625 & NYS            
20  2/19/73   1.00    3 (SCHIEDER)T 1040 201 & EST                   
20  2/20/73   0.25    3 (SCHIEDER)EDIT OLD TAPE                      
 2  2/20/73   4.50    3 REV 1040 FOR D&A MTG INT & COMP 73 INC       
18  2/21/73   0.25    3 (SCHIEDER)CK RETURN CHANGES                  
