FUBAR                    
FINAL
 0.00000000E+00 0.00000000E+00  1
OBJECT Z    
CHSIN
ROW ID
   Z    
 + C1     0.25000000E+02
 + C2     0.20000000E+02
 - C3     0.50000000E+01
 + C4     0.30000000E+02
 - C5     0.20000000E+01
M
 X1    C1    0.30000000E+01
 X4    C1    0.10000000E+01
 X1    C2    0.00000000E+00
 X1    C2    0.10000000E+01
 X1    C2    0.00000000E+00
 X1    C2    0.10000000E+01
 X2    C2    0.10000000E+01
 X3    C2    0.10000000E+01
 X4    C2    0.10000000E+01
 X1    C3    0.40000000E+01
 X3    C3    0.60000000E+01
 X2    C4    0.20000000E+01
 X3    C4    0.30000000E+01
 X4    C4    0.20000000E+01
 X2    C5    0.20000000E+01
 X3    C5    0.30000000E+01
 X4    C5    0.20000000E+01
F
 X1   
Z
 X2   
 X3   
B
 X4      10.50000       9.000000    
S
RANGE
END
